,#,Company,Symbol,Portfolio%,Price,Chg,% Chg
0,1,Apple Inc.,AAPL,7.30%,188.88,-0.83,(-0.44%)
1,2,Microsoft Corp,MSFT,7.26%,370.94,-5.23,(-1.39%)
2,3,Amazon.com Inc,AMZN,3.44%,143.66,0.83,(0.58%)
3,4,Nvidia Corp,NVDA,3.19%,493.48,-1.32,(-0.27%)
4,5,Alphabet Inc. Class A,GOOGL,2.11%,134.93,-2.00,(-1.46%)
5,6,"Meta Platforms, Inc. Class A",META,1.95%,332.77,-1.42,(-0.43%)
6,7,Alphabet Inc. Class C,GOOG,1.82%,136.59,-2.11,(-1.52%)
7,8,"Tesla, Inc.",TSLA,1.77%,231.04,-2.55,(-1.09%)
8,9,Berkshire Hathaway Class B,BRK.B,1.72%,359.75,-0.11,(-0.03%)
9,10,Unitedhealth Group Incorporated,UNH,1.32%,533.19,-6.63,(-1.23%)
10,11,Eli Lilly & Co.,LLY,1.24%,588.04,-0.71,(-0.12%)
11,12,Jpmorgan Chase & Co.,JPM,1.15%,152.39,0.94,(0.62%)
12,13,Exxon Mobil Corporation,XOM,1.11%,103.45,0.99,(0.97%)
13,14,Broadcom Inc.,AVGO,1.06%,962.72,3.17,(0.33%)
14,15,Visa Inc.,V,1.05%,249.71,1.14,(0.46%)
15,16,Johnson & Johnson,JNJ,0.95%,149.83,-0.27,(-0.18%)
16,17,Procter & Gamble Company,PG,0.94%,152.24,-0.59,(-0.39%)
17,18,Mastercard Incorporated,MA,0.87%,399.39,2.29,(0.58%)
18,19,"Home Depot, Inc.",HD,0.82%,306.53,0.09,(0.03%)
19,20,Adobe Inc.,ADBE,0.72%,601.16,-0.90,(-0.15%)
20,21,Costco Wholesale Corp,COST,0.70%,576.64,-1.94,(-0.34%)
21,22,"Merck & Co., Inc.",MRK,0.68%,101.68,-0.32,(-0.31%)
22,23,Chevron Corporation,CVX,0.68%,143.04,1.27,(0.90%)
23,24,Abbvie Inc.,ABBV,0.64%,138.23,-0.06,(-0.04%)
24,25,Walmart Inc.,WMT,0.64%,156.67,0.63,(0.40%)
25,26,"Pepsico, Inc.",PEP,0.61%,166.17,-1.54,(-0.92%)
26,27,Coca-Cola Company,KO,0.59%,56.97,-0.18,(-0.32%)
27,28,"Cisco Systems, Inc.",CSCO,0.57%,48.07,0.03,(0.07%)
28,29,"Salesforce, Inc.",CRM,0.57%,222.20,0.75,(0.34%)
29,30,Accenture Plc,ACN,0.54%,328.42,1.10,(0.34%)
30,31,Bank of America Corporation,BAC,0.54%,29.65,0.11,(0.36%)
31,32,Netflix Inc,NFLX,0.54%,465.44,-1.51,(-0.32%)
32,33,Mcdonald's Corporation,MCD,0.52%,276.17,0.05,(0.02%)
33,34,Linde Plc,LIN,0.52%,408.25,-0.14,(-0.03%)
34,35,Advanced Micro Devices,AMD,0.50%,119.90,0.07,(0.06%)
35,36,"Thermo Fisher Scientific, Inc.",TMO,0.48%,469.89,-2.58,(-0.55%)
36,37,Oracle Corp,ORCL,0.48%,115.03,0.36,(0.31%)
37,38,Comcast Corp,CMCSA,0.46%,42.37,-0.04,(-0.09%)
38,39,The Walt Disney Company,DIS,0.45%,94.66,0.15,(0.16%)
39,40,Pfizer Inc.,PFE,0.45%,29.82,0.05,(0.18%)
40,41,Abbott Laboratories,ABT,0.45%,100.22,-0.04,(-0.04%)
41,42,Intel Corp,INTC,0.45%,43.00,-0.35,(-0.80%)
42,43,Wells Fargo & Co.,WFC,0.41%,42.53,-0.01,(-0.01%)
43,44,Intuit Inc,INTU,0.41%,557.73,0.78,(0.14%)
44,45,Verizon Communications,VZ,0.40%,36.21,0.03,(0.09%)
45,46,Amgen Inc,AMGN,0.38%,266.51,-2.49,(-0.93%)
46,47,Qualcomm Inc,QCOM,0.38%,129.45,0.75,(0.58%)
47,48,Philip Morris International Inc.,PM,0.38%,91.43,0.15,(0.17%)
48,49,International Business Machines Corporation,IBM,0.37%,153.02,-0.04,(-0.03%)
49,50,Texas Instruments Incorporated,TXN,0.36%,152.51,0.62,(0.41%)
50,51,Conocophillips,COP,0.36%,113.93,1.94,(1.73%)
51,52,Danaher Corporation,DHR,0.36%,208.35,-0.76,(-0.36%)
52,53,Union Pacific Corp.,UNP,0.35%,218.70,-0.66,(-0.30%)
53,54,"Servicenow, Inc.",NOW,0.35%,652.25,-0.04,(-0.01%)
54,55,"Nike, Inc.",NKE,0.35%,106.34,-1.28,(-1.18%)
55,56,S&p Global Inc.,SPGI,0.35%,405.91,1.93,(0.48%)
56,57,Applied Materials Inc,AMAT,0.35%,147.68,-7.13,(-4.60%)
57,58,Caterpillar Inc.,CAT,0.34%,252.36,4.15,(1.67%)
58,59,General Electric Company,GE,0.33%,119.15,0.21,(0.18%)
59,60,"Honeywell International, Inc.",HON,0.33%,190.36,-0.35,(-0.18%)
