,DATE,OPEN,HIGH,LOW,CLOSE
0,11/16/23,4497.08,4511.99,4487.83,4508.24
1,11/15/23,4505.30,4521.17,4495.31,4502.88
2,11/14/23,4458.97,4508.67,4458.97,4495.70
3,11/13/23,4406.66,4421.76,4393.82,4411.55
4,11/10/23,4364.15,4418.03,4353.34,4415.24
5,11/09/23,4391.41,4393.40,4343.94,4347.35
6,11/08/23,4384.37,4391.20,4359.76,4382.78
7,11/07/23,4366.21,4386.26,4355.41,4378.38
8,11/06/23,4364.27,4372.21,4347.53,4365.98
9,11/03/23,4334.23,4373.62,4334.23,4358.34
10,11/02/23,4268.26,4319.72,4268.26,4317.78
11,11/01/23,4201.27,4245.64,4197.74,4237.86
12,10/31/23,4171.33,4195.55,4153.12,4193.80
13,10/30/23,4139.39,4177.47,4132.94,4166.82
14,10/27/23,4152.93,4156.70,4103.78,4117.37
15,10/26/23,4175.99,4183.60,4127.90,4137.23
16,10/25/23,4232.42,4232.42,4181.42,4186.77
17,10/24/23,4235.79,4259.38,4219.43,4247.68
18,10/23/23,4210.40,4255.84,4189.22,4217.04
19,10/20/23,4273.85,4276.56,4223.03,4224.16
20,10/19/23,4321.36,4339.54,4269.69,4278.00
21,10/18/23,4357.35,4364.20,4303.84,4314.60
22,10/17/23,4345.23,4393.57,4337.54,4373.20
23,10/16/23,4342.37,4383.33,4342.37,4373.63
24,10/13/23,4360.49,4377.10,4311.97,4327.78
25,10/12/23,4380.94,4385.85,4325.43,4349.61
26,10/11/23,4366.59,4378.64,4345.34,4376.95
27,10/10/23,4339.75,4385.46,4339.64,4358.24
28,10/09/23,4289.02,4341.73,4283.79,4335.66
29,10/06/23,4234.79,4324.10,4219.55,4308.50
30,10/05/23,4259.31,4267.13,4225.91,4258.19
31,10/04/23,4233.83,4268.50,4220.48,4263.75
32,10/03/23,4269.75,4281.15,4216.45,4229.45
33,10/02/23,4284.52,4300.58,4260.21,4288.39
34,09/29/23,4328.18,4333.15,4274.86,4288.05
35,09/28/23,4269.65,4317.27,4264.38,4299.70
36,09/27/23,4282.63,4292.07,4238.63,4274.51
37,09/26/23,4312.88,4313.01,4265.98,4273.53
38,09/25/23,4310.62,4338.51,4302.70,4337.44
39,09/22/23,4341.74,4357.40,4316.49,4320.06
40,09/21/23,4374.36,4375.70,4329.17,4330.00
41,09/20/23,4452.81,4461.03,4401.38,4402.20
42,09/19/23,4445.41,4449.85,4416.61,4443.95
43,09/18/23,4445.13,4466.36,4442.11,4453.53
44,09/15/23,4497.98,4497.98,4447.21,4450.32
45,09/14/23,4487.78,4511.99,4478.69,4505.10
46,09/13/23,4462.65,4479.39,4453.52,4467.44
47,09/12/23,4473.27,4487.11,4456.83,4461.90
48,09/11/23,4480.98,4490.77,4467.89,4487.46
49,09/08/23,4451.30,4473.53,4448.38,4457.49
50,09/07/23,4434.55,4457.81,4430.46,4451.14
51,09/06/23,4490.35,4490.35,4442.38,4465.48
52,09/05/23,4510.06,4514.29,4496.01,4496.83
53,09/01/23,4530.85,4541.25,4501.35,4515.77
54,08/31/23,4517.01,4532.26,4507.39,4507.66
55,08/30/23,4500.34,4521.65,4493.59,4514.87
56,08/29/23,4432.75,4500.14,4431.68,4497.63
57,08/28/23,4426.03,4439.56,4414.98,4433.31
58,08/25/23,4389.38,4418.46,4356.29,4405.71
59,08/24/23,4455.16,4458.30,4375.55,4376.31
60,08/23/23,4396.44,4443.18,4396.44,4436.01
61,08/22/23,4415.33,4418.59,4382.77,4387.55
62,08/21/23,4380.28,4407.55,4360.30,4399.77
